id,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,sample_id,group,current_site,species,origin,RTE,a_b,genotype,tank_id,treatment
A01,A01_R1_ITS2_final.fastq.gz,A01_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNA_2,PORDBN,Reef,Branching Porites sp.,DB,N,A,2,T6_C,Control
A02,A02_R1_ITS2_final.fastq.gz,A02_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNA_3,PORDBN,Reef,Branching Porites sp.,DB,N,A,3,T9_T,Treatment
A03,A03_R1_ITS2_final.fastq.gz,A03_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNA_7,PORDBN,Reef,Branching Porites sp.,DB,N,A,7,T7_T,Treatment
A04,A04_R1_ITS2_final.fastq.gz,A04_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNA_8,PORDBN,Reef,Branching Porites sp.,DB,N,A,8,T8_C,Control
A05,A05_R1_ITS2_final.fastq.gz,A05_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNB_1,PORDBN,Reef,Branching Porites sp.,DB,N,B,1,T10_C,Control
A06,A06_R1_ITS2_final.fastq.gz,A06_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNB_2,PORDBN,Reef,Branching Porites sp.,DB,N,B,2,T4_T,Treatment
A07,A07_R1_ITS2_final.fastq.gz,A07_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNB_3,PORDBN,Reef,Branching Porites sp.,DB,N,B,3,T10_C,Control
A08,A08_R1_ITS2_final.fastq.gz,A08_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNB_4,PORDBN,Reef,Branching Porites sp.,DB,N,B,4,T1_T,Treatment
A09,A09_R1_ITS2_final.fastq.gz,A09_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNB_5,PORDBN,Reef,Branching Porites sp.,DB,N,B,5,T3_C,Control
A10,A10_R1_ITS2_final.fastq.gz,A10_R2_ITS2_final.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,furcata,12.120667,-68.969944,20230630,5,POR_DBNB_6,PORDBN,Reef,Branching Porites sp.,DB,N,B,6,T7_T,Treatment
