id,A4-A4au-A4dw-A4ab-A4cu-A4av,A4-A4dr-A4au,A4-A4dt-A4dv-A4du-A4dr,B19-B19ai-B19x-B19an,B19-B19ai-B19x-B19al,B19-B19ai-B19x-B19bl,C1-C1c-C1b-C1al-C42.2-C1bh-C1br,C47a-C42.2-C47e-C44-C47-C42dp,C3-C3lp,C1-C1b-C1c-C42.2-C1bh-C1br-C3-C1cb,C3-C3lp-C3cl,C1/C1c-C1al-C1b-C42.2,C1-C1c-C1am-C1ao-C1an-C1b-C3cm,C45a-C42.2-C45m-C44i-C45n-C44j-C42ev-C44-C42fb,C1/C3-C1c-C1b-C42.2-C1bh,C1-C1c-C1b-C42.2-C1bh-C72k-C1br-C1cb,C42.2/C45a-C44j-C42ev-C42df,D1-D4-D4c-D1c-D1k-D2,D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,D1-D4-D4c-D1c-D2-D1k-D17d,D1/D1ih-D4-D4c-D1c-D2,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e
H04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9161,0,0,0,0
F04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13147,0,0,0,0
D07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15609,0,0,0,0
F02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13362,0,0,0,0
F03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10924,0,0,0,0
F01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13646,0,0,0,0
E07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17113,0,0,0,0
E01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16392,0,0,0,0
E08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11563,0,0,0,0
H05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8635,0,0,0,0
G05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11083,0,0,0,0
G09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,0,0,0,0
E12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6780,0,0,0,0
F10,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,6082,0,0,0,0
E09,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,16618,0,0,0,0
H03,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,5857,0,0,0,0
E11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,0,0,8289,0,0,0,0
G04,0,0,0,0,0,0,0,0,0,1836,0,0,0,0,0,0,0,12171,0,0,0,0
D12,0,0,0,0,0,0,0,0,0,0,2473,0,0,0,0,0,0,13778,0,0,0,0
G01,0,0,0,0,0,3220,0,0,0,0,0,0,0,0,0,0,0,11449,0,0,0,0
F09,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,6067,0,0,0,0
D10,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,0,1686,0,0,0,0
F06,0,0,0,0,322,0,0,0,0,3770,0,0,0,0,0,0,0,6187,0,0,0,0
F05,0,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,7284,0,0,0,0
B02,16132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B05,17220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B09,17855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C09,17120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,9223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07,14195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B08,9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
