Clade,Genus,ITS2 Type
A,Symbiodinium,A4
A,Symbiodinium,A4dr
A,Symbiodinium,A4au
A,Symbiodinium,A4ab
A,Symbiodinium,A4dw
A,Symbiodinium,A4cu
A,Symbiodinium,A4av
A,Symbiodinium,52096_A
A,Symbiodinium,50599_A
A,Symbiodinium,A4t
A,Symbiodinium,A4dv
A,Symbiodinium,A4dt
A,Symbiodinium,A4du
A,Symbiodinium,3694566_A
A,Symbiodinium,136498_A
A,Symbiodinium,3694568_A
A,Symbiodinium,136508_A
A,Symbiodinium,314681_A
A,Symbiodinium,40179_A
A,Symbiodinium,136618_A
A,Symbiodinium,38156_A
A,Symbiodinium,A4f
A,Symbiodinium,329129_A
A,Symbiodinium,3694567_A
A,Symbiodinium,136368_A
A,Symbiodinium,A4dd
A,Symbiodinium,A4z
A,Symbiodinium,901315_A
A,Symbiodinium,137141_A
A,Symbiodinium,A4bf
A,Symbiodinium,136348_A
A,Symbiodinium,2628445_A
A,Symbiodinium,2855664_A
A,Symbiodinium,137609_A
A,Symbiodinium,A1
B,Breviolum,B19
B,Breviolum,B19ai
B,Breviolum,B19x
B,Breviolum,B19an
B,Breviolum,B19ak
B,Breviolum,B19bl
B,Breviolum,2804469_B
B,Breviolum,900141_B
B,Breviolum,2813097_B
B,Breviolum,B19al
B,Breviolum,B19bf
B,Breviolum,B2aq
B,Breviolum,896500_B
B,Breviolum,2855689_B
B,Breviolum,2855688_B
B,Breviolum,1913916_B
B,Breviolum,B19be
B,Breviolum,49993_B
B,Breviolum,896031_B
B,Breviolum,896145_B
B,Breviolum,52809_B
B,Breviolum,3694580_B
B,Breviolum,3106270_B
B,Breviolum,901074_B
B,Breviolum,900545_B
B,Breviolum,B2
B,Breviolum,4151211_B
B,Breviolum,900442_B
B,Breviolum,51943_B
B,Breviolum,1468150_B
B,Breviolum,4151252_B
B,Breviolum,4151212_B
B,Breviolum,52806_B
B,Breviolum,3103428_B
B,Breviolum,4151217_B
B,Breviolum,3103425_B
B,Breviolum,52803_B
B,Breviolum,B19bt
C,Cladocopium,C1
C,Cladocopium,C3
C,Cladocopium,C47a
C,Cladocopium,C1c
C,Cladocopium,C42.2
C,Cladocopium,C45a
C,Cladocopium,C44
C,Cladocopium,C47e
C,Cladocopium,C3lp
C,Cladocopium,C1b
C,Cladocopium,C47
C,Cladocopium,C1al
C,Cladocopium,C3ju
C,Cladocopium,C1ge
C,Cladocopium,C45m
C,Cladocopium,C3ed
C,Cladocopium,C42dp
C,Cladocopium,C44i
C,Cladocopium,C72k
C,Cladocopium,C1bc
C,Cladocopium,C45n
C,Cladocopium,C1bh
C,Cladocopium,C1br
C,Cladocopium,C1cb
C,Cladocopium,C3lh
C,Cladocopium,C42fb
C,Cladocopium,C42ev
C,Cladocopium,C44j
C,Cladocopium,53263_C
C,Cladocopium,C1lx
C,Cladocopium,49036_C
C,Cladocopium,C6a
C,Cladocopium,C1na
C,Cladocopium,C1w
C,Cladocopium,2855904_C
C,Cladocopium,2855679_C
C,Cladocopium,40132_C
C,Cladocopium,C7t
C,Cladocopium,1337729_C
C,Cladocopium,C1cv
C,Cladocopium,4031125_C
C,Cladocopium,3065174_C
C,Cladocopium,54160_C
C,Cladocopium,C16a
C,Cladocopium,33400_C
C,Cladocopium,91106_C
C,Cladocopium,737967_C
C,Cladocopium,C42df
C,Cladocopium,72278_C
C,Cladocopium,90856_C
C,Cladocopium,11068_C
C,Cladocopium,C3ew
C,Cladocopium,3694559_C
C,Cladocopium,1671139_C
C,Cladocopium,40136_C
C,Cladocopium,C3sa
C,Cladocopium,40133_C
C,Cladocopium,C3cm
C,Cladocopium,75717_C
C,Cladocopium,C1am
C,Cladocopium,2856185_C
C,Cladocopium,40145_C
C,Cladocopium,C3av
C,Cladocopium,40129_C
C,Cladocopium,102_C
C,Cladocopium,C1ao
C,Cladocopium,3065852_C
C,Cladocopium,C3wf
C,Cladocopium,21507_C
C,Cladocopium,2151083_C
C,Cladocopium,37251_C
C,Cladocopium,3694560_C
C,Cladocopium,3694558_C
C,Cladocopium,39422_C
C,Cladocopium,76290_C
C,Cladocopium,C1cu
C,Cladocopium,894968_C
C,Cladocopium,C1jx
C,Cladocopium,100892_C
C,Cladocopium,2855817_C
C,Cladocopium,3694717_C
C,Cladocopium,C1an
C,Cladocopium,C3cl
C,Cladocopium,C42az
C,Cladocopium,C3xx
